Ar;Manad;SE1-Fast pris 1 ar;SE1-Fast pris 3 ar;SE1-Rorligt pris;SE2-Fast pris 1 ar;SE2-Fast pris 3 ar;SE2-Rorligt pris;SE3-Fast pris 1 ar;SE3-Fast pris 3 ar;SE3-Rorligt pris;SE4-Fast pris 1 ar;SE4-Fast pris 3 ar;SE4-Rorligt pris
2018;januari;49.39;48.71;50.4;49.4;48.7;50.59;50.49;50.17;50.81;51.82;51.17;51.81
2018;februari;51.23;48.99;60.75;51.33;48.84;60.91;52.55;50.34;61.24;53.74;51.33;62.32
2018;mars;54.14;50.56;68.39;54.15;50.38;69;55.26;51.78;68.81;56.73;52.93;69.13
2018;april;57.79;53.53;63.18;58.14;53.68;63.32;59.19;55.04;63.23;60.64;56.32;63.51
2018;maj;63.84;58.17;56.06;64.37;58.71;56.04;65.46;59.86;56.52;66.2;60.85;60.34
2018;juni;68.76;60.23;70.44;68.83;60.29;70.53;70.09;61.55;70.54;71.37;63.25;74.04
2018;juli;75.45;63.34;81.78;75.4;63.46;81.91;76.97;65.19;81.91;78.59;66.69;83.31
2018;augusti;74.18;62.7;87.01;74.54;63;87.08;76.11;64.69;88.33;77.1;66.07;89.63
2018;september;82.79;69.63;80.3;82.91;69.59;80.68;84.27;71.15;81.71;85.55;72.56;82.78
2018;oktober;74.51;66.66;74;74.67;66.29;73.89;76.34;68.11;74.96;77.7;69.6;83.12
2018;november;73.8;64.88;78.37;73.76;64.46;78.47;74.86;66.26;81.41;77.22;68.3;86.61
2018;december;76.16;67.08;81.11;76.27;66.99;80.79;77.38;68.76;81.84;80.39;71.24;83
2019;januari;80.19;68.79;85.98;80.18;68.45;85.72;81.39;70.33;86.96;84.04;72.63;87.68
2019;februari;75.3;66.54;75.75;76.16;66;75.64;76.1;67.62;75.95;77.96;69.7;77.23
2019;mars;72.26;65.19;66.92;72.3;64.96;66.96;73.51;66.68;67.23;75.3;68.67;68.11
2019;april;70.55;64.71;64.86;70.56;64.45;64.9;72;66.39;65.09;73.59;68.26;66.16
2019;maj;71.86;65.19;63.63;71.84;64.95;63.59;73.01;66.67;63.57;74.76;68.79;64.78
2019;juni;65.69;62.29;45.24;65.67;62.02;45.3;66.92;63.79;45.54;68.55;66.1;50.48
2019;juli;64.98;62.49;57.43;64.87;62.17;57.43;66.73;64.46;57.63;68.73;66.87;61.04
2019;augusti;65.67;62.87;61.51;65.64;62.58;61.64;67.35;64.89;61.79;69.18;66.87;64.72
2019;september;63.3;61.22;57.93;63.27;60.91;57.96;64.91;63.36;58.65;67.01;65.72;61.96
2019;oktober;63.18;61.35;61.67;63.13;60.95;61.67;64.99;63.47;63.03;67.33;65.98;69.6
2019;november;65.64;62.01;67.03;65.62;61.92;67.05;67.49;64.68;67.54;69.9;67.29;69.72
2019;december;63.51;60.62;58.78;63.5;60.6;58.82;64.87;62.84;59.72;67.56;65.56;61.65
2020;januari;56.7;57.43;42.2;56.64;57.35;42.2;58.16;59.93;42.84;60.46;62.13;46.77
2020;februari;47.2;51.56;32.73;47.01;51.43;32.66;48.56;53.57;36.23;51.07;55.97;37.54
2020;mars;46.38;51.23;26.71;46.29;51.1;26.14;48.35;53.33;30.74;51.22;55.81;33.49
2020;april;42.57;46.84;17.82;42.46;46.78;17.58;44.9;49.45;22.36;47.83;52.3;29.07
