Ar;manad;SE1-Fast pris 1 ar;SE1-Fast pris 3 ar;SE1-Rorligt pris;SE2-Fast pris 1 ar;SE2-Fast pris 3 ar;SE2-Rorligt pris;SE3-Fast pris 1 ar;SE3-Fast pris 3 ar;SE3-Rorligt pris;SE4-Fast pris 1 ar;SE4-Fast pris 3 ar;SE4-Rorligt pris
2018;januari;64.12;63.98;67.81;63.87;63.76;67.92;64.95;65.31;68.28;66.07;66.34;69.38
2018;februari;66.01;64.29;77.14;65.82;63.96;77.42;67.04;65.54;77.96;68.02;66.58;78.91
2018;mars;68.82;65.82;85.04;68.53;65.47;85.81;69.65;66.93;85.92;70.85;68.14;86.18
2018;april;72.52;68.79;79.33;72.8;69;79.76;73.83;70.37;79.72;75.13;71.79;80.14
2018;maj;78.12;73.35;72.49;78.42;73.71;72.6;79.62;74.95;73.2;79.97;75.96;77.2
2018;juni;83.41;75.49;86.4;83.25;75.32;86.74;84.52;76.65;86.85;85.57;78.36;90.45
2018;juli;89.94;78.41;97.9;89.88;78.65;98.12;91.52;80.47;98.19;92.94;82.04;99.71
2018;augusti;88.48;78.06;103.36;88.86;78.18;103.44;90.44;79.94;104.54;91.17;81.38;106.46
2018;september;97.83;85.25;96.42;98.08;85.35;96.79;99.27;86.86;97.7;100.55;88.46;99.29
2018;oktober;89.74;82.5;90.9;89.7;81.84;90.7;91.16;83.64;91.58;92.51;85.26;100.17
2018;november;88.89;80.66;94.77;88.64;79.94;95.19;89.7;81.82;97.97;92.17;84.02;103.32
2018;december;91.19;82.85;97.62;91.41;82.73;97.31;92.42;84.57;98.24;95.67;87.29;99.73
2019;januari;94.76;84.16;101.93;94.74;83.66;102.08;95.92;85.63;103.05;98.58;88.04;104.24
2019;februari;90.18;82.22;93.07;89.96;81.46;93.02;90.78;83.15;93.22;92.87;85.44;94.82
2019;mars;87.25;80.43;84.73;87.29;80.27;84.67;88.34;82.06;84.82;90.41;84.22;86.09
2019;april;85.77;80.1;82.8;85.76;79.91;82.76;87.2;82.01;82.75;89.07;84.04;84.32
2019;maj;87.37;80.86;81.01;87.31;80.66;81.02;88.38;82.48;81.07;90.59;84.9;82.5
2019;juni;81.14;77.9;62.63;81.05;77.66;62.68;82.19;79.55;62.95;84.38;82.21;67.95
2019;juli;80.55;78.21;74.55;80.36;77.92;74.66;82.12;80.29;74.67;84.59;83.01;78.66
2019;augusti;81.24;78.58;79.12;81.15;78.33;79.29;82.86;80.81;79.35;85.22;83.19;82.55
2019;september;79;77.05;75.12;78.88;76.79;75.23;80.51;79.38;76.01;83.22;82.2;79.51
2019;oktober;78.03;76.88;78.81;77.96;76.56;78.97;79.81;79.31;80.41;82.42;82.13;87.29
2019;november;81.85;78.36;84.84;81.76;78.19;84.73;83.67;81.23;85.23;86.56;84.03;87.12
2019;december;78.72;76.5;76.86;78.67;76.43;76.86;80.05;78.84;77.71;83.31;82.08;79.49
2020;januari;71.82;73.59;59.49;71.75;73.48;60.13;73.29;76.21;60.54;75.82;78.67;64.71
2020;februari;62.78;67.26;50.93;62.71;67.23;50.95;64.19;69.5;54.28;67.18;72.13;56.03
2020;mars;61.47;66.6;43.53;61.39;66.47;43.63;63.44;68.88;48.05;66.67;71.56;51.27
2020;april;57.58;62.28;35.28;57.28;62.08;34.66;59.76;64.95;39.43;62.9;67.8;46.62
2020;maj;58.23;61.78;40.55;57.98;61.97;39.42;60.43;64.17;43.46;64.1;67.34;45.42
2020;juni;61.21;63.78;41;61.13;63.72;40.55;63.7;66.02;58.47;67.56;69.2;59.7
2020;juli;60.17;63.97;36.99;60.16;63.83;36.95;62.47;66.18;37.81;65.82;69.16;56.35
2020;augusti;58.05;61.93;50.88;58.08;61.78;50.42;60.16;63.83;71.51;64.12;66.84;79.9
2020;september;61.32;64.12;51.02;61.46;64.17;50.62;63.31;66.11;71.16;67.7;69.79;79.57
2020;oktober;60.23;63.69;53.77;60.33;63.72;53.74;62.33;65.71;56.16;66.2;69.29;62.64
2020;november;66.46;69.87;39.33;66.46;69.15;39.65;67.06;69.54;61.76;72.07;74.1;76.25
2020;december;58.33;60.64;52.37;58.44;60.76;52.36;63.64;64.96;68.81;72.66;71.47;77.31
2021;januari;67.68;66.37;84.97;67.89;66.52;85.35;72.23;70.34;90.05;80.39;77.65;92.3
2021;februari;68.95;66.19;83.59;69.1;66.31;84.67;72.75;69.67;97.38;79.72;76.59;99.08
2021;mars;69.61;67.79;60.24;69.26;67.59;60.16;73.62;71.74;73.72;82.14;79.3;86.16
2021;april;71.06;67.77;59.82;70.93;67.81;60.05;77.17;73.59;68.22;89.17;82.94;80.2
2021;maj;72.78;69.75;76;72.81;69.72;75.98;78.35;75.38;81.55;93.09;87.96;87.96
2021;juni;75.07;70.16;71.31;75.05;70.17;71.09;81.24;76.21;77.96;93.15;87.21;119.82
2021;juli;80.88;73.22;91.81;81.05;73.22;92.43;87.32;79.36;100.63;113.79;103.52;114.61
2021;augusti;90.63;79.68;100.59;90.47;79.56;100.15;95.76;83.69;111.24;126.06;109.76;134.93
2021;september;103.23;87.02;99.54;103.12;86.23;100;111.92;92.64;144.25;150.59;125.74;182.82
2021;oktober;96.06;82.18;58.81;96.09;82.26;59.04;106.33;90.42;113.74;187.37;148.97;140.66
2021;november;88.31;76.92;96.12;87.15;76.05;95.17;103.36;88.33;144.36;158.42;133.43;179.95
2021;december;119.97;94.84;119.49;119.17;94.26;123.29;141.66;108.79;264.3;233.95;171.59;272.33
2022;januari;105.82;90.17;70.23;105.14;89.37;71.72;130.43;107.23;164.21;230.11;174.02;171.38
2022;februari;104.66;89.75;65.48;103.5;88.93;66.07;125.86;107.16;129.24;223.29;174.28;137.61
2022;mars;146.35;111.49;65.23;146.34;111.68;64.8;174.65;133.59;198.5;305.28;235.78;230.1
2022;april;143.13;113.07;98.49;143.4;112.42;99.21;174.92;135.43;143.39;288.69;237.9;172.15
2022;maj;152.97;128.33;102.78;151.68;126.63;102.69;192.93;154.17;160.43;280.29;241.8;206.16
2022;juni;158.95;132.75;99.67;153.12;129.63;99.13;207.24;164.57;193.32;291.41;250.43;256.94
2022;juli;212.43;169.23;61.7;216.58;172.58;61.12;304.13;217.79;146.44;447.11;347.01;190.02
2022;augusti;266.87;214.21;71.62;267.93;214.44;109.56;381.04;277.68;330.57;514.58;387.64;426.37
2022;september;420.55;323.18;168.39;423.58;325.01;169.05;564.8;400.28;329.06;804.16;590.57;343.68
2022;oktober;379.42;319.48;101.64;380.93;321.81;102.78;514.4;389.22;142.07;682.72;542.27;143.42
2022;november;309.55;287.67;203.15;311.13;287.68;206.95;431.12;367.29;221.85;589.39;519.19;227.92
2022;december;356.17;324.1;303.96;358.7;325.57;305.86;463.89;380.26;394.88;577.97;516.21;399.72
2023;januari;309.61;302.09;132.04;310.39;302.15;132.48;366.59;335.62;159.9;458.6;453.37;177.12
2023;februari;252.9;256.59;107;252.1;256.32;106.89;277.67;276.22;143.91;359.2;360.94;171.17
2023;mars;225.19;230.42;112.23;223.01;230.07;112.6;253.62;251.42;149.75;315.98;344.27;167.97
2023;april;196.3;203.61;123.15;196.11;204.71;122.88;220.4;227.72;125.24;257.46;270.28;133.35
2023;maj;195.54;212.61;78.01;192.9;211.93;78.78;222.25;230.15;89.67;244.41;276.57;131.1
2023;juni;164.98;162.06;100.77;165.28;162;101.36;190.23;184.41;103.12;223.44;224.59;168.03
2023;juli;158.6;160.03;71.24;158.05;159.16;71.29;184.29;186.7;75.36;217.73;223.7;79.02
